source,target,tgt_lng
User Interface,用户界面,zh-CN
User Experience,用户体验,zh-CN
Wireframe,线框图,zh-CN
Prototype,原型,zh-CN
Mockup,视觉稿,zh-CN
User Flow,用户流程,zh-CN
User Journey,用户旅程,zh-CN
Persona,用户画像,zh-CN
User Research,用户研究,zh-CN
Usability Testing,可用性测试,zh-CN
A/B Testing,A/B 测试,zh-CN
Information Architecture,信息架构,zh-CN
Navigation,导航,zh-CN
Breadcrumb,面包屑导航,zh-CN
Interaction Design,交互设计,zh-CN
Visual Design,视觉设计,zh-CN
Design System,设计系统,zh-CN
Style Guide,样式指南,zh-CN
Component Library,组件库,zh-CN
Design Pattern,设计模式,zh-CN
Accessibility,无障碍性,zh-CN
Responsive Design,响应式设计,zh-CN
Mobile First,移动优先,zh-CN
Grid System,栅格系统,zh-CN
Layout,布局,zh-CN
Typography,排版,zh-CN
Color Palette,调色板,zh-CN
Iconography,图标系统,zh-CN
White Space,留白,zh-CN
Visual Hierarchy,视觉层次,zh-CN
Call to Action,行动号召,zh-CN
Landing Page,着陆页,zh-CN
Hero Section,首屏区域,zh-CN
Above the Fold,首屏,zh-CN
Below the Fold,首屏以下,zh-CN
Hamburger Menu,汉堡菜单,zh-CN
Dropdown Menu,下拉菜单,zh-CN
Modal,模态框,zh-CN
Dialog,对话框,zh-CN
Toast,轻提示,zh-CN
Tooltip,工具提示,zh-CN
Skeleton Screen,骨架屏,zh-CN
Loading Spinner,加载动画,zh-CN
Progress Bar,进度条,zh-CN
Carousel,轮播图,zh-CN
Accordion,手风琴,zh-CN
Tab,标签页,zh-CN
Card,卡片,zh-CN
Badge,徽章,zh-CN
Avatar,头像,zh-CN
Sidebar,侧边栏,zh-CN
Footer,页脚,zh-CN
Header,页头,zh-CN
Search Bar,搜索栏,zh-CN
Filter,筛选器,zh-CN
Sort,排序,zh-CN
Pagination,分页,zh-CN
Infinite Scroll,无限滚动,zh-CN
Sticky Header,固定页头,zh-CN
Floating Action Button,悬浮操作按钮,zh-CN
Swipe Gesture,滑动手势,zh-CN
